crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2
2026-03-17T00:00:00.000,12:40,MANHATTAN,10012,40.724552,-74.00193,"{'latitude': '40.724552', 'longitude': '-74.00193', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SPRING ST,W BROADWAY,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,4885755,Sedan,Flat Rack
2026-03-16T00:00:00.000,15:39,MANHATTAN,10012,40.720646,-73.99414,"{'latitude': '40.720646', 'longitude': '-73.99414', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4886085,Pick-up Truck,Bike
2026-03-16T00:00:00.000,23:40,MANHATTAN,10012,40.722477,-73.99524,"{'latitude': '40.722477', 'longitude': '-73.99524', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4886049,Station Wagon/Sport Utility Vehicle,Tow Truck
2026-03-15T00:00:00.000,1:35,MANHATTAN,10013,40.721745,-74.005226,"{'latitude': '40.721745', 'longitude': '-74.005226', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",LAIGHT ST,CANAL ST,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,4885429,Station Wagon/Sport Utility Vehicle,Sedan
2026-03-14T00:00:00.000,18:00,MANHATTAN,10002,40.722073,-73.99313,"{'latitude': '40.722073', 'longitude': '-73.99313', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4885135,Taxi,
2026-03-13T00:00:00.000,10:30,MANHATTAN,10013,40.726437,-74.00565,"{'latitude': '40.726437', 'longitude': '-74.00565', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",VARICK ST,VANDAM ST,1,0,0,0,1,0,0,0,Other Vehicular,Unspecified,4885287,Sedan,Bike
2026-03-13T00:00:00.000,17:20,MANHATTAN,10012,40.72308,-73.99665,"{'latitude': '40.72308', 'longitude': '-73.99665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,4885136,Taxi,Bike
2026-03-13T00:00:00.000,8:25,MANHATTAN,10013,40.720417,-74.00747,"{'latitude': '40.720417', 'longitude': '-74.00747', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4885970,Station Wagon/Sport Utility Vehicle,
2026-03-13T00:00:00.000,19:00,MANHATTAN,10013,40.719326,-73.9973,"{'latitude': '40.719326', 'longitude': '-73.9973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",GRAND ST,MULBERRY ST,1,0,1,0,0,0,0,0,Passenger Distraction,,4885472,,
2026-03-12T00:00:00.000,15:00,MANHATTAN,10002,40.718494,-73.99266,"{'latitude': '40.718494', 'longitude': '-73.99266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Unspecified,,4885827,Station Wagon/Sport Utility Vehicle,
2026-03-12T00:00:00.000,21:30,MANHATTAN,10012,40.724136,-73.99261,"{'latitude': '40.724136', 'longitude': '-73.99261', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",E HOUSTON ST,BOWERY,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,4885140,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
2026-03-11T00:00:00.000,18:01,MANHATTAN,10012,40.723007,-74.00092,"{'latitude': '40.723007', 'longitude': '-74.00092', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,4885280,Van Camper,Sedan
2026-03-11T00:00:00.000,0:00,MANHATTAN,10013,40.72135,-74.00464,"{'latitude': '40.72135', 'longitude': '-74.00464', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CANAL ST,W BROADWAY,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4885282,Station Wagon/Sport Utility Vehicle,Tractor Truck Diesel
2026-03-10T00:00:00.000,15:30,MANHATTAN,10013,40.719906,-74.0026,"{'latitude': '40.719906', 'longitude': '-74.0026', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CANAL ST,MERCER ST,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,4885347,Van,Sedan
2026-03-10T00:00:00.000,0:01,MANHATTAN,10012,40.722507,-73.99594,"{'latitude': '40.722507', 'longitude': '-73.99594', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4884219,Sedan,
