feature,importance_mean,importance_std,rank
Feature 7,0.17144054537499337,0.12071982451326244,1
Feature 4,0.13067768540178173,0.12135894832665998,2
Feature 5,0.11343737758541242,0.08817003910431624,3
Feature 0,0.10493280846843343,0.10471644406458049,4
Feature 6,0.09432023499146391,0.09581314838662121,5
Feature 3,0.08699283291101831,0.08056565972508038,6
Feature 9,0.0816377995812644,0.10205069355866134,7
Feature 8,0.078345463639249,0.06524651888380031,8
Feature 2,0.06986509738162246,0.06611205505620954,9
Feature 1,0.06835015466476091,0.08331630769413588,10
