geoid,ntaname,area_km2,ped_pctile,crash_pctile,res_pctile,combined_ped_pctile,combined_crash_leg_pctile,combined_idx_base,combined_idx,study_intersects,study_floor_threshold,combined_scope_in,ped_metric,ped_density,crash_n,crash_density,ped_ksi,ksi_rate,res_unit_share_pct,acs_hu_per_km2,dist_nearest_subway_m,subway_access_pctile,nearest_stop_name,nearest_complex_id,nearest_subway_ridership_sum,subway_nearest_ridership_pctile,transit_access_ridership_pctile,nw_exp_HME_AMN,nw_exp_HME_JOB,nw_exp_HME_MTA,nw_exp_HME_PRK,nw_exp_HME_SCH,nw_exp_predwkdyAM,nw_exp_predwkdyMD,nw_exp_predwkdyPM,nw_exp_predwkndAM,nw_exp_predwkndMD,nw_exp_predwkndPM,gi_z,gi_p_sim,gi_class
36061002201,Lower East Side,0.16166744319122003,32.903225806451616,69.03225806451613,8.143322475570033,32.903225806451616,96.12903225806451,53.08213854177019,53.08213854177019,False,86.5571528751753,True,3421395.326532289,21163168.409148816,12,74.22644759592329,3.0,8.768349859779648e-07,57.12664180314577,19960.728866003705,217.1636119080446,21.935483870967744,Delancey St-Essex St,625,16244151.0,77.41935483870968,21.612903225806452,13031192.837542856,11306547.549676312,3629474.912328093,13530572.10340091,16429081.299712421,3353541.287170797,3856360.8542255457,3948175.7557983445,2540805.353449265,3059579.793907829,3769908.9146419535,-0.17904063274002682,0.306,not_significant
36061002602,East Village,0.10357361542241883,13.225806451612904,36.774193548387096,56.67752442996743,13.225806451612904,23.548387096774192,20.400337941628266,20.400337941628266,False,86.5571528751753,True,1767702.289232892,17067110.016614012,4,38.61987421879827,0.0,0.0,94.78095238095239,20777.49232971347,530.2981543103226,7.419354838709677,1 Av,119,14746915.0,73.06451612903226,6.451612903225806,10280063.423931241,10581410.439965965,1544.766531462893,8708169.761424087,5016500.1869130805,1604095.3410540086,2526091.172223982,1615254.0551840835,1548832.044950777,1538065.3206760553,1773875.8013084459,-1.1856546910001935,0.018,cold_spot
36061002800,East Village,0.18336073359507019,12.580645161290322,40.64516129032258,47.88273615635179,12.580645161290322,23.548387096774192,19.931736867490695,19.931736867490695,False,86.5571528751753,True,3072222.0610098685,16755070.732834741,8,43.62984289573701,0.0,0.0,93.79602767239456,18455.423544896756,347.89142640748713,10.967741935483872,1 Av,119,14746915.0,73.06451612903226,11.612903225806452,15516023.768888218,14586843.498036679,1482586.2191464833,14789001.25170458,13557101.366707064,2723014.534758561,3999631.032657422,3139843.467312509,2670631.9375438113,2674835.18939717,3225376.2043897375,-1.0288760449097936,0.043,cold_spot
36061003400,East Village,0.15964937539552024,68.06451612903226,27.419354838709676,46.90553745928339,68.06451612903226,61.61290322580645,67.39937647133677,67.39937647133677,False,86.5571528751753,True,6773018.099230739,42424331.961531684,5,31.31863176797809,1.0,1.4764464492851897e-07,93.47140039447731,25631.16823891327,0.0,83.38709677419355,1 Av,119,14746915.0,73.06451612903226,87.41935483870968,24098829.685057864,18044201.632430468,13861080.240976177,18196012.81843082,17069926.657186102,4901792.327356411,6609156.049220834,7517986.507513812,2755594.66101958,9410387.67314581,9443191.377127986,-0.2874814837257926,0.164,not_significant
36061003601,Lower East Side,0.10054860396329718,69.03225806451613,67.74193548387096,33.55048859934853,69.03225806451613,23.548387096774192,56.48601578586136,86.5571528751753,True,86.5571528751753,True,4359217.481183209,43354331.232429996,7,69.61807249512067,0.0,0.0,91.01063829787235,15942.538601382632,7.4759861543610375,52.903225806451616,2 Av,232,9578485.0,49.83870967741936,53.2258064516129,5488562.818832044,5504787.30517287,3913824.2607780853,10881059.621354764,7175928.850623423,3248184.0301465527,4195031.293809616,5074955.782410004,1902836.1457059311,6064376.183570185,5669921.451456967,1.4255917136873593,0.002,hot_spot
36061003602,East Village,0.08928637111011897,72.25806451612902,54.19354838709678,46.579804560260584,72.25806451612902,23.548387096774192,58.704221160364405,86.5571528751753,True,86.5571528751753,True,4464623.899527487,50003419.8278835,5,55.99958804276392,0.0,0.0,93.43926191696566,18883.061088019993,0.0,83.38709677419355,2 Av,232,9578485.0,49.83870967741936,80.96774193548387,5997998.14130272,5852886.099245142,5942178.495721253,6225343.165433549,5231912.933873756,3326194.9002419095,4339074.234896415,5127787.12550421,1781451.8767932325,5823233.88666612,6390001.373063034,1.3855392119926795,0.002,hot_spot
36061004001,East Village,0.09244095035196347,71.29032258064515,12.580645161290322,42.671009771986974,71.29032258064515,23.548387096774192,58.04677108583504,58.04677108583504,False,86.5571528751753,True,4433120.888137885,47956245.2707273,1,10.817716566008452,0.0,0.0,92.87090558766859,24329.04455695301,89.96842125571929,40.0,1 Av,119,14746915.0,73.06451612903226,41.935483870967744,9407105.085366463,6455809.45628354,5116385.989582303,3983118.0217226488,7700488.75288813,2964060.748724298,4330820.936870346,4727264.468546082,1746168.639052503,6336362.951583685,6494047.584050399,0.8505149747493436,0.018,hot_spot
36061004002,East Village,0.08664239575609452,77.09677419354838,66.45161290322581,55.37459283387622,77.09677419354838,70.0,75.84750614314842,75.84750614314842,False,86.5571528751753,True,4888835.954512688,56425447.517346635,6,69.25016266736776,1.0,2.0454762744274797e-07,94.69205834683954,25772.602206038704,0.3109672413015003,59.03225806451613,3 Av,118,3919778.0,13.064516129032258,61.29032258064516,8705590.568693746,7144493.47183815,7360233.8134202,4448717.4744444685,4614411.7701516645,3405008.9875328224,5107148.508313633,5492658.522899834,1828012.6466022448,6452691.185924999,7047495.875802594,0.9717817882068961,0.021,hot_spot
36061004100,SoHo-Little Italy-Hudson Square,0.19125129549632075,92.25806451612904,92.58064516129032,16.938110749185668,92.25806451612904,55.483870967741936,80.46948512558208,86.5571528751753,True,86.5571528751753,True,19541275.14037667,102175909.91822901,25,130.71806878547886,2.0,1.0234746111936623e-07,77.13163799551234,20057.38047444388,0.0,83.38709677419355,Canal St,623,25055166.0,84.67741935483872,92.25806451612904,17696537.726845384,14594195.038495865,9607832.780278081,7936151.197535794,11261388.769721322,11091976.526492972,21888255.10313865,21265831.73092243,6491810.237407838,29474007.227911133,27035770.01638697,1.3892194054971303,0.002,hot_spot
36061004300,SoHo-Little Italy-Hudson Square,0.14916372821414964,89.35483870967742,85.80645161290322,13.680781758957655,89.35483870967742,51.61290322580645,77.16312277426269,86.5571528751753,True,86.5571528751753,True,13399269.609684715,89829275.32119477,17,113.96872553087195,1.0,7.463092799075352e-08,71.97213290460878,19341.163126856798,0.0,83.38709677419355,Prince St,17,7386040.0,37.41935483870968,77.09677419354838,9584830.633119663,9264547.289180314,9581913.85924968,3556595.044119107,1941965.178797838,9808594.955210868,13806017.14891173,16823999.92562702,4063634.0230689915,17786637.133304927,18106734.47198476,1.5893038360603648,0.001,hot_spot
